cell_type,count,percentage,proportional_sample,sqrt_sample,stratified_sample
bronchiolar smooth muscle cell,0,0.0,0,0,0
bronchus fibroblast of lung,0,0.0,0,0,0
brush cell of trachea,0,0.0,0,0,0
brush cell of tracheobronchial tree,0,0.0,0,0,0
capillary endothelial cell,0,0.0,0,0,0
cardiac blood vessel endothelial cell,0,0.0,0,0,0
cardiac endothelial cell,0,0.0,0,0,0
cardiac mesenchymal cell,0,0.0,0,0,0
basal cell of urothelium,0,0.0,0,0,0
basal cell of epithelium of trachea,0,0.0,0,0,0
cardiac muscle myoblast,0,0.0,0,0,0
alveolar type 1 fibroblast cell,0,0.0,0,0,0
adult skeletal muscle myoblast,0,0.0,0,0,0
adventitial cell,0,0.0,0,0,0
adventitial fibroblast,0,0.0,0,0,0
afferent neuron,0,0.0,0,0,0
airway submucosal gland collecting duct epithelial cell,0,0.0,0,0,0
airway submucosal gland duct basal cell,0,0.0,0,0,0
alternatively activated macrophage,0,0.0,0,0,0
alveolar adventitial fibroblast,0,0.0,0,0,0
alveolar capillary type 1 endothelial cell,0,0.0,0,0,0
alveolar capillary type 2 endothelial cell,0,0.0,0,0,0
amacrine cell,0,0.0,0,0,0
basal cell of epithelium of lobular bronchiole,0,0.0,0,0,0
angiogenic pericyte,0,0.0,0,0,0
anterior lens cell,0,0.0,0,0,0
antibody secreting cell,0,0.0,0,0,0
arachnoid barrier cell,0,0.0,0,0,0
articular chondrocyte,0,0.0,0,0,0
astrocyte,0,0.0,0,0,0
astrocyte of the cerebral cortex,0,0.0,0,0,0
basal cell,0,0.0,0,0,0
basal cell of epidermis,0,0.0,0,0,0
basal cell of epithelium of bronchus,0,0.0,0,0,0
cardiac muscle cell,0,0.0,0,0,0
cardiac neuron,0,0.0,0,0,0
adipocyte of epicardial fat of left ventricle,0,0.0,0,0,0
columnar/cuboidal epithelial cell,0,0.0,0,0,0
ciliated cell,0,0.0,0,0,0
ciliated epithelial cell,0,0.0,0,0,0
club cell,0,0.0,0,0,0
